[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.995806, 77.7292022, False ]
[ 12.995806, 77.7292022, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958483, 77.7291606, False ]
[ 12.9958483, 77.7291606, False ]
[ 12.9958483, 77.7291606, False ]
[ 12.9958483, 77.7291606, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291576, False ]
[ 12.9958481, 77.7291576, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958511, 77.7291542, False ]
[ 12.9958511, 77.7291542, False ]
[ 12.9958511, 77.7291542, False ]
[ 12.9958511, 77.7291542, False ]
[ 12.9958511, 77.7291542, False ]
[ 12.9958511, 77.7291542, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958636, 77.7291285, False ]
[ 12.9958636, 77.7291285, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9959499, 77.729374, False ]
[ 12.9959499, 77.729374, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958481, 77.7291575, False ]
[ 12.9958901, 77.7291846, False ]
[ 12.9958901, 77.7291846, False ]
[ 12.9958481, 77.7291575, False ]
